CIS100,3
CIS100,3
CIS100,2
CSC110,1
CIS495,3
CSC430,1
CSC330,3
CSC331,3
CSC110,2
CSC110,2
CSC111,1
CSC310,1
CIS100,3
CIS100,3
CIS100,3
CIS255,2
CIS200,1
CSC110,3
CSC210,1
CIS100,3
CIS100,3
CIS345,2
CSC110,2
CSC350,1
GIS261,1
GIS361,3
CIS100,3
GIS201,3
CIS385,2
CIS440,1
CIS440,3
CIS485,1
CIS100,3
CIS100,3
CIS100,2
CIS345,2
CSC111,1
CSC210,1
CSC101,3
CSC211,3
CIS100,3
CIS100,2
CIS100,1
CIS100,3
CIS155,1
CIS455,3
CSC101,3
CSC215,2
CIS100,2
CIS100,1
CSC101,1
CSC330,3
CIS100,3
CIS100,3
CSC210,2
CSC430,1
CIS100,3
CIS100,1
CIS100,3
CIS100,3
CIS100,2
CIS100,2
CIS100,1
CIS100,1
CIS100,3
CIS100,3
CIS100,3
CIS100,2
CIS100,1
CIS100,3
CIS115,1
CIS155,3
CIS155,3
CIS155,2
CIS155,2
CIS155,1
CIS180,1
CIS200,3
CIS200,3
CIS200,3
CIS200,2
CIS200,1
CIS200,3
CIS200,1
CIS255,3
CIS345,3
CIS345,2
CIS359,2
CIS385,1
CIS395,1
CIS395,3
CIS395,3
CIS440,3
CIS440,2
CIS445,1
CIS445,3
CIS445,1
CIS455,3
CIS455,3
CIS485,2
CIS495,2
CSC101,1
CSC101,1
CSC101,3
CSC101,3
CSC101,3
CSC101,2
CSC101,1
CSC110,3
CSC110,1
CSC110,3
CSC110,3
CSC110,2
CSC110,2
CSC110,1
CSC111,1
CSC111,3
CSC210,3
CSC210,3
CSC210,2
CSC230,1
CSC231,3
CSC310,1
CSC410,3
CSC410,3
